image_path,target,first_action,final_action,prediction,exact,edit_distance,baseline_exact,fixed,broken,policy_a_action,policy_b_action,policy_a_prediction,policy_b_prediction,prediction_agreement_change,source,input_transform,crop_width,crop_height,crop_size_bucket
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000016_general_001869.jpg,50L18760,baseline,baseline,50LD18760,False,1,False,False,False,full_z1.15_up2_train_baseline,baseline,50LD18760,50LD18760,False,archive_plate_crops_from_coords,existing_plate_crop,52,42,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000017_general_007078.jpg,84F56066,baseline,baseline,84F56066,True,0,True,False,False,baseline,baseline,84F56066,84F56066,False,yolo_plate_dataset,crop_source_bounding_box,131,88,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000018_general_004753.jpg,30A68021,baseline,baseline,30A68021,True,0,True,False,False,baseline,baseline,30A68021,30A68021,False,cropped,existing_plate_crop,50,16,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000019_general_017266.jpg,1291NCG011,baseline,baseline,41291NG01,False,3,False,False,False,baseline,baseline,41291NG01,41291NG01,False,yolo_plate_dataset,crop_source_bounding_box,145,30,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000020_general_003313.jpg,30F52331,baseline,baseline,30F57331,False,1,False,False,False,baseline,baseline,30F57331,30F57331,False,archive_plate_crops_from_coords,existing_plate_crop,151,132,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000021_general_009866.jpg,78D110469,baseline,baseline,78D108469,False,2,False,False,False,baseline,baseline,78D108469,78D108469,False,archive_plate_crops_from_coords,existing_plate_crop,92,68,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000022_general_016636.jpg,83S63309,baseline,baseline,83S63309,True,0,True,False,False,baseline,baseline,83S63309,83S63309,False,yolo_plate_dataset,crop_source_bounding_box,194,142,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000023_general_016546.jpg,59D333186,baseline,baseline,59D333186,True,0,True,False,False,full_z0.93_up3_clahe_clip1_tile4,baseline,59D333186,59D333186,False,cropped,existing_plate_crop,39,31,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000024_general_008756.jpg,60B605712,baseline,baseline,60H65712,False,2,False,False,False,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,60H65712,60H65712,False,archive_plate_crops_from_coords,existing_plate_crop,114,96,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000025_general_002413.jpg,60AK06769,full_z1.15_up3_train_baseline,full_z1.15_up3_train_baseline,60AH06769,False,1,False,False,False,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.15_up3_train_baseline,60AH06769,60AH06769,True,archive_plate_crops_from_coords,existing_plate_crop,68,46,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000026_general_003341.jpg,54S55036,baseline,baseline,54S55036,True,0,True,False,False,baseline,baseline,54S55036,54S55036,False,yolo_plate_dataset,crop_source_bounding_box,68,45,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000027_general_009075.jpg,51G99030,baseline,baseline,51G99030,True,0,True,False,False,baseline,baseline,51G99030,51G99030,False,cropped,existing_plate_crop,84,61,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000028_general_006176.jpg,51G30147,baseline,baseline,51G301,False,2,False,False,False,baseline,baseline,51G301,51G301,False,archive_plate_crops_from_coords,existing_plate_crop,272,160,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000029_general_010486.jpg,51G51189,baseline,baseline,51G51188,False,1,False,False,False,full_z1.15_up2_train_baseline,baseline,51G51188,51G51188,False,archive_plate_crops_from_coords,existing_plate_crop,67,38,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000030_general_014831.jpg,48M07329,baseline,baseline,B9A07379,False,4,False,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,B9A07379,B9A07379,False,archive_plate_crops_from_coords,existing_plate_crop,88,71,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000031_general_001503.jpg,6917251A,baseline,baseline,51A69172,False,6,False,False,False,baseline,baseline,51A69172,51A69172,False,yolo_plate_ocr_dataset,existing_plate_crop,780,165,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000032_general_013926.jpg,30G06998,baseline,baseline,30G06998,True,0,True,False,False,baseline,baseline,30G06998,30G06998,False,cropped,existing_plate_crop,62,38,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000033_general_013861.jpg,60K43725,baseline,baseline,60K43725,True,0,True,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,60K43725,60K43725,False,cropped,existing_plate_crop,42,27,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000034_general_002240.jpg,94F18709,baseline,baseline,94F18709,True,0,True,False,False,baseline,baseline,94F18709,94F18709,False,yolo_plate_dataset,crop_source_bounding_box,227,164,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000035_general_003191.jpg,30G07829,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,15A01676,False,7,False,False,False,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,15A01676,15A01676,True,archive_plate_crops_from_coords,existing_plate_crop,77,41,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000036_general_009101.jpg,51B29732,baseline,baseline,51B29732,True,0,True,False,False,baseline,baseline,51B29732,51B29732,False,cropped,existing_plate_crop,66,36,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000037_general_005548.jpg,54S16317,baseline,baseline,54S16312,False,1,False,False,False,baseline,baseline,54S16312,54S16312,False,archive_plate_crops_from_coords,existing_plate_crop,73,60,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000038_general_012617.jpg,52P64651,baseline,baseline,52P8465,False,2,False,False,False,baseline,baseline,52P8465,52P8465,False,archive_plate_crops_from_coords,existing_plate_crop,158,43,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000039_general_009244.jpg,65T10601,baseline,baseline,65T10601,True,0,True,False,False,baseline,baseline,65T10601,65T10601,False,yolo_plate_dataset,crop_source_bounding_box,152,114,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000040_general_003439.jpg,60A22029,baseline,baseline,60A22029,True,0,True,False,False,baseline,baseline,60A22029,60A22029,False,cropped,existing_plate_crop,43,38,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000041_general_016587.jpg,5139466,baseline,baseline,51G39466,False,1,False,False,False,baseline,baseline,51G39466,51G39466,False,yolo_plate_dataset,crop_source_bounding_box,146,91,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000042_general_016615.jpg,59X1748,baseline,baseline,59X137438,False,2,False,False,False,baseline,baseline,59X137438,59X137438,False,yolo_plate_dataset,crop_source_bounding_box,47,28,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000043_general_011868.jpg,89F89357,full_z1.15_up3_train_baseline,full_z1.15_up3_train_baseline,JF89357,False,2,False,False,False,full_z1.15_up3_train_baseline,full_z1.15_up3_train_baseline,JF89357,JF89357,True,archive_plate_crops_from_coords,existing_plate_crop,110,36,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000044_general_001820.jpg,70H143325,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,70H143358,False,2,False,False,False,full_z1.15_up2_train_baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,70H143358,70H143358,True,archive_plate_crops_from_coords,existing_plate_crop,91,48,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000045_general_004874.jpg,51K56505,baseline,baseline,51K56505,True,0,True,False,False,baseline,baseline,51K56505,51K56505,False,cropped,existing_plate_crop,56,44,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000046_general_005211.jpg,59C416526,baseline,baseline,59C416526,True,0,True,False,False,baseline,baseline,59C416526,59C416526,False,archive_plate_crops_from_coords,existing_plate_crop,77,49,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000047_general_016870.jpg,61G47281,baseline,baseline,4G47281,False,2,False,False,False,baseline,baseline,4G47281,4G47281,False,archive_plate_crops_from_coords,existing_plate_crop,118,36,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000048_general_001981.jpg,67M136037,baseline,baseline,67M136037,True,0,True,False,False,baseline,baseline,67M136037,67M136037,False,yolo_plate_dataset,crop_source_bounding_box,84,71,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000049_general_010202.jpg,50X307849,baseline,baseline,3891696,False,8,False,False,False,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z0.93_up3_clahe_clip1_tile4,50X101466,569141466,False,archive_plate_crops_from_coords,existing_plate_crop,25,15,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000050_general_014932.jpg,54U52813,baseline,baseline,54U52813,True,0,True,False,False,baseline,baseline,54U52813,54U52813,False,archive_plate_crops_from_coords,existing_plate_crop,68,62,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000051_general_004007.jpg,51F827D,baseline,baseline,51F88270,False,2,False,False,False,baseline,baseline,51F88270,51F88270,False,yolo_plate_dataset,crop_source_bounding_box,58,16,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000052_general_001863.jpg,51X41137,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,51441137,False,1,False,False,False,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,51441137,51441137,True,archive_plate_crops_from_coords,existing_plate_crop,61,36,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000053_general_007360.jpg,60C70450,baseline,baseline,60C70450,True,0,True,False,False,baseline,baseline,60C70450,60C70450,False,cropped,existing_plate_crop,129,32,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000054_general_017130.jpg,51H90817,baseline,baseline,51H90817,True,0,True,False,False,baseline,baseline,51H90817,51H90817,False,cropped,existing_plate_crop,55,36,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000055_general_014565.jpg,50E140478,baseline,baseline,59E188858,False,5,False,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,59E188858,59E188858,False,archive_plate_crops_from_coords,existing_plate_crop,87,55,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000056_general_002771.jpg,59T155550,baseline,baseline,59T165550,False,1,False,False,False,baseline,baseline,59T165550,59T165550,False,yolo_plate_dataset,crop_source_bounding_box,49,25,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000057_general_001075.jpg,41A0527,baseline,baseline,51A05227,False,2,False,False,False,baseline,baseline,51A05227,51A05227,False,yolo_plate_dataset,crop_source_bounding_box,55,18,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000058_general_014163.jpg,6221327,baseline,baseline,62N27327,False,2,False,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,62N27327,62U27327,False,yolo_plate_dataset,crop_source_bounding_box,55,43,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000059_general_008632.jpg,51S63577,baseline,baseline,51S63577,True,0,True,False,False,baseline,baseline,51S63577,51S63577,False,yolo_plate_ocr_dataset,existing_plate_crop,760,560,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000060_general_010663.jpg,59N160886,baseline,baseline,59M160886,False,1,False,False,False,baseline,baseline,59M160886,59M160886,False,archive_plate_crops_from_coords,existing_plate_crop,87,76,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000061_general_013527.jpg,70C347728,baseline,baseline,71C37726,False,3,False,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,71C37726,71C342726,False,archive_plate_crops_from_coords,existing_plate_crop,28,20,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000062_general_008210.jpg,541F324,baseline,baseline,51F32488,False,3,False,False,False,baseline,baseline,51F32488,51F32488,False,yolo_plate_dataset,crop_source_bounding_box,56,12,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000063_general_003339.jpg,59H162281,baseline,baseline,59H162281,True,0,True,False,False,baseline,baseline,59H162281,59H162281,False,archive_plate_crops_from_coords,existing_plate_crop,89,71,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000064_general_010321.jpg,60C20139,baseline,baseline,60C20139,True,0,True,False,False,baseline,baseline,60C20139,60C20139,False,cropped,existing_plate_crop,81,24,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000065_general_003788.jpg,1F222261,baseline,baseline,61F22261,False,2,False,False,False,baseline,baseline,61F22261,61F22261,False,archive_plate_crops_from_coords,existing_plate_crop,108,26,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000066_general_010736.jpg,54G98273,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,AD1223,False,6,False,False,False,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,AD1223,AD1223,True,archive_plate_crops_from_coords,existing_plate_crop,38,25,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000067_general_003524.jpg,30A33949,baseline,baseline,30A33949,True,0,True,False,False,baseline,baseline,30A33949,30A33949,False,archive_plate_crops_from_coords,existing_plate_crop,95,106,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000068_general_015592.jpg,90B600346,baseline,baseline,90B600346,True,0,True,False,False,baseline,baseline,90B600346,90B600346,False,cropped,existing_plate_crop,42,43,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000069_general_016480.jpg,30F45742,baseline,baseline,30F45742,True,0,True,False,False,baseline,baseline,30F45742,30F45742,False,cropped,existing_plate_crop,38,31,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000070_general_011667.jpg,29D05169,baseline,baseline,29A65169,False,2,False,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,29A65169,29A65169,False,archive_plate_crops_from_coords,existing_plate_crop,42,44,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000071_general_008856.jpg,62C190121,baseline,baseline,62L190121,False,1,False,False,False,baseline,baseline,62L190121,62L190121,False,archive_plate_crops_from_coords,existing_plate_crop,99,67,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000072_general_003813.jpg,63B60201,baseline,baseline,53R60201,False,2,False,False,False,baseline,unwrap_z1.07_up2_clahe_rl_deblur_bilateral,53R60201,53R60201,False,archive_plate_crops_from_coords,existing_plate_crop,87,74,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000073_general_010106.jpg,29F02763,baseline,baseline,29F02763,True,0,True,False,False,baseline,baseline,29F02763,29F02763,False,cropped,existing_plate_crop,47,26,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000074_general_013105.jpg,72F00074,baseline,baseline,72F00074,True,0,True,False,False,baseline,baseline,72F00074,72F00074,False,cropped,existing_plate_crop,49,27,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000075_general_014223.jpg,30G51484,baseline,baseline,30G51624,False,2,False,False,False,baseline,baseline,30G51624,30G51624,False,archive_plate_crops_from_coords,existing_plate_crop,111,123,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000076_general_006646.jpg,61B45552,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,61B145552,False,1,False,False,False,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,61B145552,61B145552,True,archive_plate_crops_from_coords,existing_plate_crop,44,26,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000077_general_004161.jpg,60LD04398,baseline,baseline,60LD4398,False,1,False,False,False,full_z1.15_up3_train_baseline,baseline,60LD04398,60LD4398,False,cropped,existing_plate_crop,80,42,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000078_general_017742.jpg,651F5001,baseline,baseline,51F59011,False,3,False,False,False,baseline,baseline,51F59011,51F59011,False,yolo_plate_dataset,crop_source_bounding_box,64,15,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000079_general_016404.jpg,59T100329,baseline,baseline,59TA00329,False,1,False,False,False,baseline,baseline,59TA00329,59TA00329,False,archive_plate_crops_from_coords,existing_plate_crop,99,91,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000080_general_008894.jpg,50M2059,baseline,baseline,50H20559,False,2,False,False,False,baseline,baseline,50H20559,50H20559,False,archive_plate_crops_from_coords,existing_plate_crop,70,46,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000081_general_010279.jpg,70Z73474,baseline,baseline,73H25474,False,4,False,False,False,full_z1.15_up2_train_baseline,full_z1.15_up3_train_baseline,79ZH7474,73ZH7474,False,archive_plate_crops_from_coords,existing_plate_crop,91,75,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000082_general_007501.jpg,51A35600,baseline,baseline,51A35600,True,0,True,False,False,baseline,baseline,51A35600,51A35600,False,cropped,existing_plate_crop,57,35,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000083_general_001067.jpg,51F4142,baseline,baseline,51F49142,False,1,False,False,False,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,51F49142,51F49142,False,yolo_plate_dataset,crop_source_bounding_box,49,14,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000084_general_005395.jpg,59P18973,baseline,baseline,59P189739,False,1,False,False,False,baseline,baseline,59P189739,59P189739,False,yolo_plate_dataset,crop_source_bounding_box,37,27,min_side_lt32
